Name,contract_years,salary,AAV,minor league,catcher,date,new_team,former_team,Age,WAR3,Yrs,career_games,stayed_same_team,G,PA,HR,R,RBI,SB,BB%,K%,AVG,OBP,SLG,GDP,CS,H,OPS,PlayerId,MLBAMID,G_2,PA_2,HR_2,R_2,RBI_2,SB_2,BB%_2,K%_2,AVG_2,OBP_2,SLG_2,GDP_2,CS_2,H_2,OPS_2,G_3,PA_3,HR_3,R_3,RBI_3,SB_3,BB%_3,K%_3,AVG_3,OBP_3,SLG_3,GDP_3,CS_3,H_3,OPS_3
Albert Pujols,1,2.5,2.5,0,0,2022,STL,LAD,42,-0.4,21,2971,0,109,296,17,29,50,2,0.047297297,0.152027027,0.236363636,0.283783783,0.432727272,14,0,65,0.716511055,1177,405395,131,545,23,55,93,3,0.078899082,0.124770642,0.244399185,0.304587155,0.429735234,21,0,120,0.734322389,131,545,23,55,93,3,0.078899082,0.124770642,0.244399185,0.304587155,0.429735234,21,0,120,0.734322389
David Peralta,1,0.72,0.72,1,0,2024,CHC,LAD,36,2.2,10,1141,0,133,422,7,47,55,4,0.047393364,0.170616113,0.258883248,0.293838862,0.380710659,8,1,102,0.674549521,2136,444482,134,490,12,39,59,1,0.083673469,0.232653061,0.250569476,0.31632653,0.414578587,8,3,110,0.730905117,150,538,8,57,63,2,0.085501858,0.171003717,0.258726899,0.32527881,0.402464065,9,1,126,0.727742875
David Peralta,1,6.5,6.5,0,0,2023,LAD,TBR,35,2.3,9,1008,0,134,490,12,39,59,1,0.083673469,0.232653061,0.250569476,0.31632653,0.414578587,8,3,110,0.730905117,2136,444482,150,538,8,57,63,2,0.085501858,0.171003717,0.258726899,0.32527881,0.402464065,9,1,126,0.727742875,99,423,12,48,57,0,0.082742316,0.205673758,0.274869109,0.342789598,0.460732984,9,0,105,0.803522582
Carlos Santana,1,5.25,5.25,0,0,2024,MIN,MIL,38,3.7,14,1930,0,146,619,23,78,86,6,0.105008077,0.168012924,0.24,0.31825525,0.429090909,11,0,132,0.747346159,2396,467793,131,506,19,52,60,0,0.140316205,0.173913043,0.201856148,0.316205533,0.375870069,9,0,87,0.692075602,158,659,19,66,69,2,0.130500758,0.154779969,0.214159292,0.318664643,0.34159292,12,0,121,0.660257563
Carlos Santana,1,6.725,6.725,0,0,2023,PIT,SEA,37,2.1,13,1784,0,131,506,19,52,60,0,0.140316205,0.173913043,0.201856148,0.316205533,0.375870069,9,0,87,0.692075602,2396,467793,158,659,19,66,69,2,0.130500758,0.154779969,0.214159292,0.318664643,0.34159292,12,0,121,0.660257563,158,686,34,110,93,4,0.157434402,0.157434402,0.280977312,0.396501457,0.514834205,13,0,161,0.911335662
Nelson Cruz,1,1,1,0,0,2023,SDP,WSN,42,4.4,18,2006,0,124,507,10,50,64,4,0.096646942,0.234714003,0.234375,0.313492063,0.337053571,16,0,105,0.650545634,2434,443558,140,584,32,79,86,3,0.087328767,0.215753424,0.265107212,0.334482758,0.497076023,14,0,136,0.831558781,120,521,41,81,108,0,0.107485604,0.251439539,0.310572687,0.392307692,0.638766519,14,1,141,1.031074211
Nelson Cruz,1,15,15,0,0,2022,WSN,TBR,41,8.7,17,1882,0,140,584,32,79,86,3,0.087328767,0.215753424,0.265107212,0.334482758,0.497076023,14,0,136,0.831558781,2434,443558,120,521,41,81,108,0,0.107485604,0.251439539,0.310572687,0.392307692,0.638766519,14,1,141,1.031074211,120,521,41,81,108,0,0.107485604,0.251439539,0.310572687,0.392307692,0.638766519,14,1,141,1.031074211
Manny Piña,2,8,4,0,1,2022,ATL,MIL,35,2.8,8,409,0,75,208,13,27,33,0,0.10576923,0.182692307,0.188888888,0.29326923,0.438888888,4,0,34,0.732158118,2829,444489,76,179,7,10,25,0,0.089385474,0.279329608,0.227848101,0.312849162,0.411392405,1,0,36,0.724241567,76,179,7,10,25,0,0.089385474,0.279329608,0.227848101,0.312849162,0.411392405,1,0,36,0.724241567
Roberto Perez,1,0.72,0.72,1,1,2024,BOS,SFG,35,0.4,10,516,0,5,17,0,0,1,0,0.117647058,0.352941176,0.133333333,0.235294117,0.133333333,0,0,2,0.36862745,2900,547379,21,69,2,8,8,0,0.130434782,0.36231884,0.233333333,0.333333333,0.366666666,1,0,14,0.699999999,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954
Roberto Perez,1,0.72,0.72,1,1,2023,SFG,PIT,34,0.7,9,511,0,21,69,2,8,8,0,0.130434782,0.36231884,0.233333333,0.333333333,0.366666666,1,0,14,0.699999999,2900,547379,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127
Roberto Perez,1,5,5,0,1,2022,PIT,CLE,33,4.2,8,490,0,44,161,7,13,17,1,0.105590062,0.347826086,0.14893617,0.245283018,0.319148936,1,0,21,0.564431954,2900,547379,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127,119,449,24,46,63,0,0.100222717,0.282850779,0.23907455,0.321266968,0.452442159,12,0,93,0.773709127
Tommy Pham,1,6,6,0,0,2023,NYM,BOS,35,1.8,9,876,0,144,622,17,89,63,8,0.090032154,0.268488745,0.236462093,0.311897106,0.373646209,20,3,131,0.685543315,2967,502054,155,561,15,74,49,14,0.139037433,0.228163992,0.229473684,0.340463458,0.383157894,10,6,109,0.723621352,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978
Tommy Pham,1,7.5,7.5,0,0,2022,CIN,SDP,34,5.2,8,732,0,155,561,15,74,49,14,0.139037433,0.228163992,0.229473684,0.340463458,0.383157894,10,6,109,0.723621352,2967,502054,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978,145,654,21,77,68,25,0.123853211,0.188073394,0.273368606,0.368501529,0.449735449,22,4,155,0.818236978
Robinson Chirinos,1,9,9,0,1,2022,BAL,CHC,38,3.3,10,647,0,45,112,5,13,15,0,0.080357142,0.321428571,0.226804123,0.324324324,0.453608247,2,0,22,0.777932571,3142,455139,114,437,17,57,58,1,0.116704805,0.286041189,0.237704918,0.347126436,0.44262295,11,2,87,0.789749386,114,437,17,57,58,1,0.116704805,0.286041189,0.237704918,0.347126436,0.44262295,11,2,87,0.789749386
Charlie Culberson,1,0.72,0.72,1,0,2024,ATL,ATL,35,1.1,11,586,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,2,3298,518586,70,124,2,19,12,2,0.04032258,0.25,0.252173913,0.283333333,0.356521739,5,3,29,0.639855072,91,271,5,23,22,7,0.062730627,0.236162361,0.242914979,0.295880149,0.380566801,3,1,60,0.67644695
Charlie Culberson,1,0.72,0.72,1,0,2023,TBR,TEX,34,0.9,10,585,0,70,124,2,19,12,2,0.04032258,0.25,0.252173913,0.283333333,0.356521739,5,3,29,0.639855072,3298,518586,91,271,5,23,22,7,0.062730627,0.236162361,0.242914979,0.295880149,0.380566801,3,1,60,0.67644695,108,144,5,14,20,0,0.041666666,0.305555555,0.259259259,0.293706293,0.437037037,5,1,35,0.73074333
Charlie Culberson,1,1.75,1.75,0,0,2022,TEX,TEX,33,0.9,9,517,1,91,271,5,23,22,7,0.062730627,0.236162361,0.242914979,0.295880149,0.380566801,3,1,60,0.67644695,3298,518586,108,144,5,14,20,0,0.041666666,0.305555555,0.259259259,0.293706293,0.437037037,5,1,35,0.73074333,108,144,5,14,20,0,0.041666666,0.305555555,0.259259259,0.293706293,0.437037037,5,1,35,0.73074333
Anthony Rizzo,2,40,20,0,0,2023,NYY,NYY,33,5.2,12,1536,1,130,548,32,77,75,6,0.105839416,0.184306569,0.223655913,0.33759124,0.479569892,13,5,104,0.817161132,3473,519203,141,576,22,73,61,6,0.090277777,0.151041666,0.24798387,0.34375,0.439516129,15,2,123,0.783266129,146,613,27,89,94,5,0.115823817,0.140293637,0.29296875,0.404567699,0.51953125,15,2,150,0.924098949
Anthony Rizzo,2,32,16,0,0,2022,NYY,NYY,32,7.1,11,1406,1,141,576,22,73,61,6,0.090277777,0.151041666,0.24798387,0.34375,0.439516129,15,2,123,0.783266129,3473,519203,146,613,27,89,94,5,0.115823817,0.140293637,0.29296875,0.404567699,0.51953125,15,2,150,0.924098949,146,613,27,89,94,5,0.115823817,0.140293637,0.29296875,0.404567699,0.51953125,15,2,150,0.924098949
Dexter Fowler,1,0.72,0.72,1,0,2022,TOR,LAA,36,1.3,14,1460,0,7,21,0,3,1,1,0.047619047,0.285714285,0.25,0.285714285,0.25,0,0,5,0.535714285,4062,451594,150,574,19,69,67,8,0.12891986,0.247386759,0.238193018,0.345549738,0.408624229,6,5,116,0.754173967,150,574,19,69,67,8,0.12891986,0.247386759,0.238193018,0.345549738,0.408624229,6,5,116,0.754173967
Michael Brantley,1,12,12,0,0,2023,HOU,HOU,36,5.5,14,1430,1,64,277,5,28,26,1,0.111913357,0.108303249,0.288065843,0.369565217,0.41563786,1,1,70,0.785203077,4106,488726,121,508,8,68,47,1,0.064960629,0.104330708,0.311300639,0.362204724,0.437100213,11,0,146,0.799304937,148,637,22,88,90,3,0.080062794,0.103610675,0.311304347,0.372056514,0.502608695,21,2,179,0.874665209
Joey Votto,1,0.72,0.72,1,0,2024,TOR,CIN,40,3.4,17,2056,0,65,242,14,26,38,0,0.111570247,0.256198347,0.201923076,0.314049586,0.432692307,2,0,42,0.746741893,4314,458015,91,376,11,31,41,0,0.117021276,0.257978723,0.204968944,0.319148936,0.369565217,8,0,66,0.688714153,129,533,36,73,99,1,0.14446529,0.238273921,0.265625,0.375234521,0.5625,7,0,119,0.937734521
Jed Lowrie,1,0.85,0.85,0,0,2022,OAK,OAK,38,0.1,13,1257,1,139,512,14,55,69,0,0.095703125,0.2109375,0.245076586,0.318359375,0.398249452,8,0,112,0.716608827,4418,476704,9,8,0,0,0,0,0.125,0.5,0,0.125,0,0,0,0,0.125,9,8,0,0,0,0,0.125,0.5,0,0.125,0,0,0,0,0.125
Mike Moustakas,1,0.72,0.72,1,0,2024,CHW,LAA,35,-1.9,13,1427,0,112,386,12,43,48,0,0.059585492,0.246113989,0.24715909,0.292746113,0.392045454,7,0,87,0.684791567,4892,519058,78,285,7,30,25,2,0.084210526,0.263157894,0.214285714,0.294736842,0.345238095,8,0,54,0.639974937,62,206,6,21,22,0,0.08737864,0.22330097,0.207650273,0.281553398,0.371584699,6,0,38,0.653138097
Jason Heyward,1,9,9,0,0,2024,LAD,LAD,34,1.7,14,1703,1,124,377,15,56,40,2,0.090185676,0.169761273,0.269461077,0.339572192,0.473053892,7,2,90,0.812626084,4940,518792,48,151,1,15,10,1,0.072847682,0.211920529,0.204379562,0.278145695,0.277372262,3,0,28,0.555517957,104,353,8,35,30,5,0.076487252,0.19263456,0.213622291,0.280453257,0.346749226,4,1,69,0.627202483
Jason Heyward,1,22,22,0,0,2023,LAD,CHC,33,1.2,13,1579,0,48,151,1,15,10,1,0.072847682,0.211920529,0.204379562,0.278145695,0.277372262,3,0,28,0.555517957,4940,518792,104,353,8,35,30,5,0.076487252,0.19263456,0.213622291,0.280453257,0.346749226,4,1,69,0.627202483,147,589,21,78,62,8,0.115449915,0.186757215,0.251461988,0.342954159,0.428849902,12,3,129,0.771804061
Stephen Vogt,1,0.85,0.85,0,0,2022,OAK,ATL,37,1.1,9,724,0,78,238,7,24,25,0,0.109243697,0.235294117,0.195238095,0.282700421,0.333333333,2,0,41,0.616033754,5000,519390,99,280,10,30,40,3,0.071428571,0.235714285,0.262745098,0.314285714,0.490196078,1,1,67,0.804481792,99,280,10,30,40,3,0.071428571,0.235714285,0.262745098,0.314285714,0.490196078,1,1,67,0.804481792
Anthony Gose,1,0.72,0.72,1,0,2023,CLE,CLE,32,0,7,372,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5097,543238,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Justin Turner,1,13,13,0,0,2024,TOR,BOS,39,7.8,15,1539,0,146,626,23,86,96,4,0.081469648,0.175718849,0.275985663,0.345047923,0.455197132,10,1,154,0.800245055,5235,457759,128,532,13,61,81,3,0.093984962,0.167293233,0.277777777,0.34962406,0.438034188,13,0,130,0.787658248,151,612,27,87,87,3,0.099673202,0.160130718,0.277673545,0.361111111,0.470919324,12,0,148,0.832030435
Justin Turner,2,21.7,10.85,0,0,2023,BOS,LAD,38,7.2,14,1393,0,128,532,13,61,81,3,0.093984962,0.167293233,0.277777777,0.34962406,0.438034188,13,0,130,0.787658248,5235,457759,151,612,27,87,87,3,0.099673202,0.160130718,0.277673545,0.361111111,0.470919324,12,0,148,0.832030435,135,549,27,80,67,2,0.092896174,0.160291438,0.290187891,0.371584699,0.509394572,11,0,139,0.880979271
Robbie Grossman,1,2,2,0,0,2023,TEX,ATL,33,4.5,10,1011,0,129,477,7,40,45,6,0.117400419,0.270440251,0.209245742,0.310272536,0.311435523,3,2,86,0.621708059,5254,543257,156,671,23,88,67,20,0.14605067,0.230998509,0.238779174,0.357249626,0.414721723,8,5,133,0.771971349,138,482,6,57,38,9,0.122406639,0.178423236,0.24047619,0.334024896,0.347619047,7,4,101,0.681643943
Sandy Leon,1,0.72,0.72,1,1,2024,KCR,CLE,35,-1.9,12,554,0,22,44,0,4,4,0,0.022727272,0.454545454,0.146341463,0.186046511,0.195121951,2,0,6,0.381168462,5273,506702,34,86,0,6,4,0,0.15116279,0.313953488,0.169014084,0.297619047,0.211267605,2,0,12,0.508886652,84,220,4,15,14,0,0.054545454,0.295454545,0.183168316,0.237442922,0.267326732,2,0,37,0.504769654
Sandy Leon,1,0.72,0.72,1,1,2023,TEX,MIN,34,-1.5,11,533,0,34,86,0,6,4,0,0.15116279,0.313953488,0.169014084,0.297619047,0.211267605,2,0,12,0.508886652,5273,506702,84,220,4,15,14,0,0.054545454,0.295454545,0.183168316,0.237442922,0.267326732,2,0,37,0.504769654,65,191,5,14,19,0,0.068062827,0.246073298,0.191860465,0.251336898,0.296511627,0,0,33,0.547848525
Sandy Leon,1,0.72,0.72,1,0,2022,CLE,MIA,33,-1.6,10,500,0,84,220,4,15,14,0,0.054545454,0.295454545,0.183168316,0.237442922,0.267326732,2,0,37,0.504769654,5273,506702,65,191,5,14,19,0,0.068062827,0.246073298,0.191860465,0.251336898,0.296511627,0,0,33,0.547848525,65,191,5,14,19,0,0.068062827,0.246073298,0.191860465,0.251336898,0.296511627,0,0,33,0.547848525
Aaron Hicks,1,0.72,0.72,1,0,2024,LAA,BAL,34,1.7,11,963,0,93,312,8,44,36,6,0.134615384,0.221153846,0.252788104,0.352564102,0.382899628,3,0,68,0.73546373,5297,543305,130,453,8,54,40,10,0.136865342,0.240618101,0.216145833,0.329646017,0.3125,10,3,83,0.642146017,32,126,4,13,14,0,0.111111111,0.238095238,0.194444444,0.293650793,0.333333333,3,0,21,0.626984126
Brandon Crawford,1,2,2,0,0,2024,STL,SFG,37,5.5,13,1654,0,94,320,7,31,38,3,0.0875,0.253125,0.194346289,0.272727272,0.314487632,5,0,55,0.587214904,5343,543063,118,458,9,50,52,1,0.085152838,0.213973799,0.23095823,0.307860262,0.343980343,12,1,94,0.651840605,138,549,24,79,90,11,0.102003642,0.19125683,0.298136645,0.373406193,0.52173913,8,3,144,0.895145323
Freddie Freeman,6,162,27,0,0,2022,LAD,ATL,32,11.9,12,1565,0,159,695,31,120,83,8,0.122302158,0.153956834,0.3,0.392805755,0.503333333,11,3,180,0.896139088,5361,518692,158,692,38,113,121,6,0.125722543,0.183526011,0.29480737,0.388728323,0.549413735,17,3,176,0.938142058,158,692,38,113,121,6,0.125722543,0.183526011,0.29480737,0.388728323,0.549413735,17,3,176,0.938142058
Abraham Almonte,1,0.72,0.72,1,0,2023,NYM,BOS,34,-1,10,455,0,15,37,1,7,2,1,0.027027027,0.324324324,0.257142857,0.297297297,0.4,1,0,9,0.697297297,5486,501659,64,175,5,20,19,1,0.148571428,0.217142857,0.216216216,0.331428571,0.398648648,2,1,32,0.730077219,17,38,1,11,4,0,0.184210526,0.210526315,0.29032258,0.421052631,0.548387096,1,0,9,0.969439727
Austin Romine,1,0.72,0.72,1,1,2023,CIN,CIN,34,-1.2,11,484,1,51,136,3,10,9,0,0.029411764,0.338235294,0.155038759,0.186567164,0.248062015,2,0,20,0.434629179,5491,519222,28,62,1,5,5,0,0.032258064,0.354838709,0.216666666,0.241935483,0.3,4,0,13,0.541935483,73,240,8,29,35,1,0.041666666,0.208333333,0.280701754,0.30962343,0.438596491,7,1,64,0.748219921
Austin Romine,1,0.72,0.72,1,0,2022,LAA,CHC,33,0.2,10,433,0,28,62,1,5,5,0,0.032258064,0.354838709,0.216666666,0.241935483,0.3,4,0,13,0.541935483,5491,519222,73,240,8,29,35,1,0.041666666,0.208333333,0.280701754,0.30962343,0.438596491,7,1,64,0.748219921,73,240,8,29,35,1,0.041666666,0.208333333,0.280701754,0.30962343,0.438596491,7,1,64,0.748219921
Marwin Gonzalez,1,1.1,1.1,0,0,2022,NYY,HOU,33,1.3,10,1053,0,91,307,5,30,28,3,0.065146579,0.254071661,0.199275362,0.274509803,0.304347826,8,2,55,0.578857629,5497,503556,114,463,15,52,55,1,0.066954643,0.211663066,0.263529411,0.321814254,0.414117647,7,0,112,0.735931901,114,463,15,52,55,1,0.066954643,0.211663066,0.263529411,0.321814254,0.414117647,7,0,112,0.735931901
Steven Souza Jr.,1,0.72,0.72,1,0,2022,SEA,LAD,33,-0.2,7,499,0,17,36,1,2,3,0,0.055555555,0.388888888,0.151515151,0.222222222,0.333333333,2,0,5,0.555555555,5667,519306,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Avisail Garcia,4,53,13.25,0,0,2022,MIA,MIL,31,5,10,951,0,135,515,29,68,86,8,0.073786407,0.234951456,0.262472885,0.330097087,0.490238611,12,4,121,0.820335698,5760,541645,125,530,20,61,72,10,0.058490566,0.235849056,0.282208588,0.332075471,0.464212678,15,4,138,0.796288149,125,530,20,61,72,10,0.058490566,0.235849056,0.282208588,0.332075471,0.464212678,15,4,138,0.796288149
Leury Garcia,3,16.5,5.5,0,0,2022,CHW,CHW,31,4,9,604,1,126,474,5,60,54,6,0.08649789,0.20464135,0.267469879,0.33548387,0.375903614,12,2,111,0.711387484,5913,544725,140,618,8,93,40,15,0.033980582,0.224919093,0.279029462,0.309719934,0.377816291,6,5,161,0.687536225,140,618,8,93,40,15,0.033980582,0.224919093,0.279029462,0.309719934,0.377816291,6,5,161,0.687536225
Jean Segura,2,17,8.5,0,0,2023,MIA,PHI,33,6.8,11,1328,0,98,387,10,45,33,13,0.064599483,0.149870801,0.276836158,0.335917312,0.387005649,16,6,98,0.722922961,5933,516416,131,567,14,76,58,9,0.068783068,0.137566137,0.289883268,0.348056537,0.435797665,16,3,149,0.783854202,144,618,12,79,60,10,0.048543689,0.118122977,0.279513888,0.322528363,0.420138888,11,2,161,0.742667251
Eduardo Escobar,1,0.72,0.72,1,0,2024,TOR,LAA,35,2.6,13,1363,0,100,309,6,32,31,2,0.058252427,0.252427184,0.225694444,0.269480519,0.34375,7,1,65,0.613230519,6153,500871,136,542,20,58,69,0,0.073800738,0.23800738,0.24040404,0.295202952,0.43030303,4,2,119,0.725505982,146,599,28,77,90,1,0.080133555,0.207011686,0.253187613,0.313856427,0.471766848,3,0,139,0.785623275
Eduardo Escobar,2,20,10,0,0,2022,NYM,MIL,33,5.4,11,1128,0,146,599,28,77,90,1,0.080133555,0.207011686,0.253187613,0.313856427,0.471766848,3,0,139,0.785623275,6153,500871,158,699,35,94,118,5,0.071530758,0.185979971,0.268867924,0.320457796,0.511006289,8,1,171,0.831464085,158,699,35,94,118,5,0.071530758,0.185979971,0.268867924,0.320457796,0.511006289,8,1,171,0.831464085
J.D. Martinez,1,10,10,0,0,2023,LAD,BOS,35,3.5,12,1409,0,139,596,16,76,62,0,0.087248322,0.24328859,0.2739212,0.34117647,0.448405253,20,0,146,0.789581723,6184,502110,148,634,28,92,99,0,0.086750788,0.236593059,0.285964912,0.349131121,0.517543859,18,0,163,0.86667498,146,657,36,98,105,2,0.109589041,0.210045662,0.304347826,0.382621951,0.556521739,19,0,175,0.93914369
Martin Maldonado,1,4.25,4.25,0,1,2024,CHW,HOU,37,0.5,13,1118,0,117,407,15,33,36,0,0.073710073,0.341523341,0.190607734,0.258227848,0.348066298,10,0,69,0.606294146,6887,455117,113,379,15,40,45,0,0.058047493,0.306068601,0.186046511,0.248,0.351744186,6,0,64,0.599744186,125,426,12,40,36,0,0.110328638,0.298122065,0.171581769,0.272300469,0.300268096,9,0,64,0.572568565
Matt Carpenter,1,0.72,0.72,1,0,2024,STL,ATL,38,1,13,1452,0,76,237,5,18,31,1,0.17299578,0.282700421,0.175531914,0.322033898,0.319148936,2,0,33,0.641182834,8090,572761,47,154,15,28,37,0,0.123376623,0.227272727,0.3046875,0.411764705,0.7265625,2,0,39,1.138327205,130,249,3,18,21,2,0.140562248,0.309236947,0.169082125,0.305220883,0.275362318,1,0,35,0.580583201
Matt Carpenter,2,12,6,0,0,2023,SDP,NYY,37,1.4,12,1376,0,47,154,15,28,37,0,0.123376623,0.227272727,0.3046875,0.411764705,0.7265625,2,0,39,1.138327205,8090,572761,130,249,3,18,21,2,0.140562248,0.309236947,0.169082125,0.305220883,0.275362318,1,0,35,0.580583201,129,492,15,59,46,6,0.12804878,0.262195121,0.225961538,0.334012219,0.391826923,3,1,94,0.725839142
Matt Carpenter,1,0.72,0.72,0,0,2022,TEX,STL,36,0.2,11,1329,0,130,249,3,18,21,2,0.140562248,0.309236947,0.169082125,0.305220883,0.275362318,1,0,35,0.580583201,8090,572761,129,492,15,59,46,6,0.12804878,0.262195121,0.225961538,0.334012219,0.391826923,3,1,94,0.725839142,129,492,15,59,46,6,0.12804878,0.262195121,0.225961538,0.334012219,0.391826923,3,1,94,0.725839142
Josh Harrison,1,5.5,5.5,0,0,2022,CHW,OAK,34,1.5,11,1049,0,138,558,8,58,60,9,0.055555555,0.134408602,0.27920792,0.341113105,0.4,9,5,141,0.741113105,8202,543281,36,147,1,10,8,4,0.040816326,0.183673469,0.175182481,0.217687074,0.262773722,0,2,24,0.480460796,36,147,1,10,8,4,0.040816326,0.183673469,0.175182481,0.217687074,0.262773722,0,2,24,0.480460796
